"LUG_cp ","LUG_localidad ","LUG_provincia ","LUG_delegacion ","LUG_nombre "
"36201","Vigo","Pontevedra","Vigo","Unidad del Distrito Oficial de Teis"
"15007","A Coruña","A Coruña","A Coruña","Señora de Isabel Becerra"
"36214","Vigo","Pontevedra","Vigo","Santa Marta"
"15010","A Coruña","A Coruña","A Coruña","Santa Margarita"
"36204","Vigo","Pontevedra","Vigo","Sanitas Residencial"
"36202","Vigo","Pontevedra","Vigo","San Rafael"
"36340","Nigrán","Pontevedra","Vigo","San Antonio de la Florida"
"36208","Vigo","Pontevedra","Vigo","San Antonio de La Florida"
"32005","Ourense","Ourense","Vigo","San Antonio de la Florida"
,,,,"Rutas de senderismo"
"15965","Ribeira","A Coruña","A Coruña","Ribeira"
"36212","Navia","Pontevedra","Vigo","Residencia Santa Marta "
"36203","Vigo","Pontevedra","Vigo","Residencia Santa Marta"
"36450","Salvaterra do Miño","Pontevedra","Vigo","Residencia San Telmo Tui"
"15701","Santiago de Compostela","A Coruña","Santiago de Compostela","Residencia San Marcos"
"36600","Villagarcia de Arousa","Pontevedra","Santiago de Compostela","Residencia San Marcos"
"36004","Pontevedra","Pontevedra","Pontevedra","Residencia Campolongo"
"36211","Vigo","Pontevedra","Vigo","Recuperación de montes"
"15005","A Coruña","A Coruña","A Coruña","Proyecto Dejando huellas"
"36214","Sárdoma (Vigo)","Pontevedra","Vigo","Proyecto Chifletas"
"36992","Raxó","Pontevedra","Pontevedra","Principe Felipe"
,"A Coruña","A Coruña","A Coruña","Paseos Xardin"
"36393","Bayona","Pontevedra","Vigo","Parroquia de San Antonio de La Florida"
"15172","Perillo","A Coruña","A Coruña","Padre Rubinos"
"15179","Oleiros","A Coruña","A Coruña","Padre Rubinos"
"15007","A Coruña","A Coruña","A Coruña","Padre Rubinos"
"36205","Vigo","Pontevedra","Vigo","Oficina Municipal Distrito de Teis"
"36162","Monteporreiro","Pontevedra","Pontevedra","Oficina Benito Corbal"
"15165","Bergondo","A Coruña","A Coruña","Obra de la Señora"
"15006","A Coruña","A Coruña","A Coruña","Obra de la Señora"
"15172","Oleiros","A Coruña","A Coruña","Obra de la Señora"
"15160","Sada","A Coruña","A Coruña","Obra de la Señora"
"15670","O Borgo","A Coruña","A Coruña","Obra de La Señora"
"15310","Curtis","A Coruña","A Coruña","Obra de la Señora"
"15002","A Coruña","A Coruña","A Coruña","Obra de Atocha"
"36206","Vigo","Pontevedra","Vigo","O Lecer"
"36203","Vigo","Pontevedra","Vigo","Mila Conde"
"15800","Santiago de Compostela","A Coruña","Santiago de Compostela","Menores"
"15866","Teo","A Coruña","Santiago de Compostela","Mayores y menores"
"15004","A Coruña","A Coruña","A Coruña","Mayores"
"36317","Vigo","Pontevedra","Vigo","Los Picos"
"36300","Baiona","Pontevedra","Vigo","Las Angélicas"
"36640","Pontecesures","Pontevedra","Vigo","La Inmaculada"
"36203","Vigo","Pontevedra","Vigo","Rivera Atienza"
"15002","A Coruña","A Coruña","A Coruña","Hospitales"
,"A Coruña","A Coruña","A Coruña","Hogar Santa Margarita"
"15142","Arteixo","A Coruña","A Coruña","Hogar Santa Margarita"
"15180","Culleredo","A Coruña","A Coruña","Hogar Santa Margarita"
"36208","Vigo","Pontevedra","Vigo","Hogar San Rafael"
"36216","Vigo","Pontevedra","Vigo","Hogar San José"
"36693","Redondela","Pontevedra","Vigo","Hermanos Misioneros de Teis"
"36390","Vigo","Pontevedra","Vigo","Grupo Beiramar"
"36207","Vigo","Pontevedra","Vigo","Cáritas"
"15895","Santiago de Compostela","A Coruña","Santiago de Compostela","El Ensanche"
"36419","Sanguiñeda-Mos","Pontevedra","Vigo","Desayunos Solidarios"
"36340","Nigrán","Pontevedra","Vigo","Desayunos a personas sin hogar"
"36004",,,,"Cosas puntuales"
"15702","Santiago de Compostela","A Coruña","Santiago de Compostela","Cornes"
"36209","Vigo","Pontevedra","Vigo","Comedor Social de la Esperanza"
"36863","Ponteareas","Pontevedra","Vigo","Comedor Social de la Esperanza"
"36201","Vigo","Pontevedra","Vigo","Comedor Misioneras del Silencio"
"15702","Santiago de Compostela","A Coruña","Santiago de Compostela","Cocina económica / asilo"
,,,,"Clases de refuerzo"
,,,,"Clases de alfabetización"
"36313","Vigo","Pontevedra","Vigo","Centro Social La Inmaculada"
"36201","Vigo","Pontevedra","Vigo","Centro Social de Teis"
,"Gondomar","Pontevedra","Vigo","Centro O Seixo"
"36208","Vigo","Pontevedra","Vigo","Centro Cívico de Teis"
,,,,"Cartas solidarias"
"36002","Pontevedra","Pontevedra","Pontevedra","Campolongho"
,,,,"Campañas exporádicas"
"15706","Santiago de Compostela","A Coruña","Santiago de Compostela","Asilo San Marcos"
"36202","Vigo","Pontevedra","Vigo","ASDEGAL"
"15813","Sobrado dos Monxes","A Coruña","Santiago de Compostela","Arzua"
"15007","A Coruña","A Coruña","A Coruña","Artefios"
,"Vigo","Pontevedra","Vigo","Alento"
,,,,"Acompañamientos"
